场次号,联赛,主队,客队,比分,赔率
周六017,法甲,斯特拉斯堡,朗斯,23:15,0:1,9.25
周六017,法甲,斯特拉斯堡,朗斯,23:15,0:2,10.50
周六017,法甲,斯特拉斯堡,朗斯,23:15,2:1,11.50
周六017,法甲,斯特拉斯堡,朗斯,23:15,2:2,11.50
周六017,法甲,斯特拉斯堡,朗斯,23:15,1:3,13.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,1:0,15.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,0:3,17.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,0:0,18.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2:3,19.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2:0,23.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,3:1,26.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,1:4,28.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,3:2,29.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,0:4,38.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2:4,42.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,3:3,42.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,3:0,45.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,1:5,70.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,4:1,75.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,4:2,80.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,0:5,85.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2:5,100.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,4:0,120.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,5:1,250.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,5:2,300.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,5:0,400.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2:1,7.75
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,1:1,8.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,1:2,9.25
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2:2,10.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,1:0,11.50
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2:0,12.50
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,0:1,13.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,3:1,14.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,0:0,18.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,0:2,18.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,3:2,19.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,1:3,20.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,3:0,22.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2:3,24.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,4:1,30.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,0:3,34.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,3:3,35.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,4:0,50.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,4:2,50.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,1:4,60.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2:4,60.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,0:4,90.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,5:1,90.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,5:0,150.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,5:2,150.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,1:5,175.00
