场次号,联赛,主队,客队,更新时间,比分,赔率
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,2:3,17.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,2:4,40.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,2:5,90.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,3:0,35.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,3:1,19.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,3:2,22.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,3:3,31.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,4:0,100.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,4:1,55.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,4:2,60.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,5:0,350.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,5:1,175.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,5:2,175.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,0:0,16.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,0:1,17.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,0:2,30.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,0:3,80.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,0:4,350.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,0:5,750.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,1:0,9.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,1:1,8.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,1:2,13.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,1:3,39.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,1:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,1:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,2:0,8.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,2:1,6.25
