match_id,date,home_team_name,away_team_name,competition_name,actual_result,BaselinePlatt_away,BaselinePlatt_draw,BaselinePlatt_home,TempScalingon raw_away,TempScalingon raw_draw,TempScalingon raw_home,Mono-Pooledon raw_away,Mono-Pooledon raw_draw,Mono-Pooledon raw_home,Mono-OVRon raw_away,Mono-OVRon raw_draw,Mono-OVRon raw_home,Mono-Pooledon Temp_away,Mono-Pooledon Temp_draw,Mono-Pooledon Temp_home
2025-10-25_Espanyol_Elche,2025-10-25,西班牙人,埃尔切,西甲,2,0.20904962650691553,0.3815239044291242,0.4094264690639602,0.25929669402873223,0.4106072087937665,0.33009609717750127,0.29248319630698955,0.3767389583383806,0.33077784535462995,0.2527183531730238,0.3077357687212486,0.43954587810572765,0.29191780293647834,0.38065009751944834,0.3274320995440732
2025-10-25_Chelsea_Sunderland,2025-10-25,切尔西,桑德兰,英超,0,0.10594893058118532,0.1731232583244202,0.7209278110943945,0.1256975458908135,0.2858971395744599,0.5884053145347267,0.12641974908495585,0.2809189706939412,0.5926612802211029,0.08690383343695558,0.2420324751361552,0.6710636914268892,0.12900653685731478,0.2814153912904665,0.5895780718522187
2025-10-25_Leeds United_West Ham United,2025-10-25,利兹联,西汉姆联,英超,2,0.1949462463142435,0.38652781564998356,0.41852593803577287,0.24525182688302283,0.4168571571778532,0.33789101593912385,0.2661835228725873,0.4087200583966174,0.3250964187307953,0.22904969723956506,0.3310441363901959,0.4399061663702391,0.26670571885245903,0.4083576763575125,0.32493660479002845
2025-10-25_Stade Brestois_Paris Saint-Germain,2025-10-25,布雷斯特,巴黎圣日尔曼,法甲,0,0.673597671643247,0.09541594885719401,0.23098637949955908,0.61860606924978,0.21010434336616254,0.17128958738405742,0.6077601570871852,0.20345734508008112,0.1887824978327336,0.5787799010739243,0.16552591752855897,0.2556941813975167,0.6090910293018382,0.2035365843224159,0.18737238637574585
2025-10-25_AC Milan_Pisa,2025-10-25,AC米兰,比萨,意甲,1,0.1121198505887262,0.16582578484766275,0.722054364563611,0.13470194661388663,0.2810359081478082,0.5842621452383052,0.1315476432553082,0.27926998337920517,0.5891823733654866,0.08996781015477329,0.2412203132895402,0.6688118765556866,0.1396304580161082,0.2779828340366457,0.582386707947246
2025-10-25_SV Werder Bremen_1. FC Union Berlin,2025-10-25,云达不来梅,柏林联合,德甲,2,0.23507924036686445,0.3597588620110108,0.4051618976221248,0.2808373877688668,0.3996987708013479,0.31946384142978534,0.30216081555661733,0.3698737630373185,0.32796542140606416,0.2603223818634335,0.3025600803902606,0.4371175377463059,0.31200310077879223,0.36479455599795296,0.32320234322325486
2025-10-25_TSG Hoffenheim_1. FC Heidenheim,2025-10-25,霍芬海姆,海登海姆,德甲,2,0.1576357345433145,0.3185843699885638,0.5237798954681216,0.20004784371207204,0.3806053322436707,0.4193468240442572,0.23041016633792755,0.3572767469975916,0.41231308666448085,0.2067005133598018,0.27577549104121757,0.5175239955989805,0.22824955448672632,0.3603749297214843,0.41137551579178944
2025-10-25_Hamburger SV_VfL Wolfsburg,2025-10-25,汉堡,沃尔夫斯堡,德甲,0,0.320954575708818,0.34390197771515607,0.33514344657602585,0.352134178564375,0.3885314197334748,0.25933440170215016,0.33454178424097847,0.3696468374360838,0.29581137832293775,0.32130109414528857,0.29051137704060814,0.3881875288141033,0.33365955622839716,0.36887063333280184,0.29746981043880094
2025-10-25_FC Augsburg_RB Leipzig,2025-10-25,奥格斯堡,莱比锡红牛,德甲,0,0.5503186921888887,0.2207676130561372,0.22891369475497397,0.5191993206538797,0.3149774790585272,0.165823200287593,0.5092220413414024,0.2997513513963698,0.19102660726222778,0.49994733452017004,0.2630257429193908,0.2370269225604391,0.5099383086173476,0.29969002775207726,0.19037166363057514
2025-10-25_Eintracht Frankfurt_FC St. Pauli,2025-10-25,法兰克福,圣保利,德甲,2,0.16040677327219005,0.2945688848005399,0.54502434192727,0.20234709795943606,0.36642674721678503,0.4312261548237789,0.23128015345065375,0.3548499402466192,0.413869906302727,0.20729406945759837,0.27556915254347875,0.5171367779989229,0.2302953118538291,0.3546420918079627,0.4150625963382082
2025-10-25_Paris FC_Nantes,2025-10-25,巴黎FC,南特,法甲,0,0.13051333861948028,0.2998070547063919,0.569679606674128,0.16679774510655807,0.3726521910308894,0.46055006386255254,0.19277738182074847,0.3363594288390041,0.4708631893402474,0.15442112273678113,0.27813740967240547,0.5674414675908133,0.18870954966650302,0.33390691703464587,0.477383533298851
2025-10-25_Udinese_Lecce,2025-10-25,乌迪内斯,莱切,意甲,2,0.1774327092250692,0.2648879231108193,0.5576793676641114,0.21931891762999145,0.34743488976277775,0.43324619260723085,0.23312748777407863,0.32114120984492167,0.4457313023809997,0.2070737943591058,0.2639804013810679,0.5289458042598263,0.22691740626037518,0.32390988568286455,0.44917270805676024
2025-10-25_Parma_Como,2025-10-25,帕尔马,科莫,意甲,1,0.44329092712593526,0.33563487107197637,0.22107420180208845,0.4509312225066628,0.3852658130320198,0.16380296446131745,0.46791524729115813,0.33823336405558035,0.1938513886532615,0.4702131332734415,0.2918204344462902,0.23796643228026837,0.459392280816202,0.34540177805192906,0.195205941131869
2025-10-25_Borussia M'gladbach_FC Bayern München,2025-10-25,门兴格拉德巴赫,拜仁慕尼黑,德甲,0,0.7107365392854266,0.08951031159593033,0.199753149118643,0.6553533084615167,0.2030462692988604,0.14160042223962283,0.6543798843806473,0.2016522088484975,0.14396790677085514,0.6251804968336812,0.1750883235758801,0.1997311795904387,0.6600833927031806,0.2000324270553109,0.1398841802415084
2025-10-26_Aston Villa_Manchester City,2025-10-26,阿斯顿维拉,曼彻斯特城,英超,2,0.4557652265131094,0.3622856074315536,0.1819491660553371,0.4701994030819211,0.40032377492234605,0.1294768219957329,0.5133356102710591,0.3474089483652622,0.1392554413636787,0.5019278065471052,0.3076298248599936,0.19044236859290123,0.5056212945070208,0.35513676512549935,0.1392419403674799
2025-10-26_Bournemouth_Nottingham Forest,2025-10-26,伯恩茅斯,诺丁汉森林,英超,2,0.19337126733791762,0.2852566401922436,0.5213720924698387,0.23638547813114408,0.3589161769576906,0.40469834491116535,0.28004865722805894,0.3420302449704561,0.377921097801485,0.21390302538522174,0.2726863950727262,0.513410579542052,0.28006964648534366,0.3427032691853165,0.37722708432933977
2025-10-26_Wolverhampton_Burnley,2025-10-26,狼队,伯恩利,英超,0,0.1840264568475765,0.32096521804973516,0.4950083251026885,0.22893894283184738,0.3806462563796958,0.3904148007884568,0.2685519886938732,0.36313656807481826,0.36831144323130854,0.21143589375546123,0.2810751422456082,0.5074889639989304,0.2711349530709304,0.36367214191331015,0.36519290501575946
2025-10-26_Real Madrid_FC Barcelona,2025-10-26,皇家马德里,巴塞罗那,西甲,2,0.21972168336850978,0.2991167587805195,0.48116155785097076,0.2624229255943003,0.36548879020805897,0.3720882841976408,0.2909421098794136,0.35060385277419537,0.35845403734639103,0.22844087764902019,0.2750138997557249,0.4965452225952551,0.2907579039758573,0.35019582790074655,0.35904626812339613
2025-10-26_Valencia_Villarreal,2025-10-26,巴伦西亚,比利亚雷亚尔,西甲,0,0.5837432269989995,0.2026689585509236,0.21358781445007685,0.5438645896690066,0.3047399707774315,0.15139543955356197,0.5500785978816114,0.2917531566314087,0.15816824548697983,0.5127641652494879,0.2697687660173865,0.2174670687331256,0.5418475568601667,0.287441690150288,0.17071075298954544
2025-10-26_Mallorca_Levante UD,2025-10-26,马洛卡,莱万特,西甲,1,0.24155192378756718,0.32271049325913753,0.43573758295329523,0.2842072175445655,0.37679596330630344,0.33899681914913105,0.3016826752668467,0.3640998708558239,0.33421745387732943,0.2603223818634335,0.3025600803902606,0.4371175377463059,0.31037329360840776,0.36137781374287187,0.3282488926487203
2025-10-26_Arsenal_Crystal Palace,2025-10-26,阿森纳,水晶宫,英超,2,0.08773480892172604,0.15400484182027607,0.7582603492579979,0.09428446734440991,0.2715741319038166,0.6341414007517735,0.09141911791593758,0.269433216163177,0.6391476659208855,0.08352060227452869,0.22342884905560678,0.6930505486698646,0.09137111329042943,0.2659152924104317,0.6427135942991389
2025-10-26_Athletic Club_Getafe,2025-10-26,毕尔巴鄂竞技,赫塔费,西甲,0,0.17213110581327085,0.3654209174688949,0.4624479767178343,0.21866594428994923,0.40685356810082907,0.3744804876092218,0.24572189151156223,0.3855232051905942,0.3687549032978436,0.2107554165914544,0.28338890241021186,0.5058556809983337,0.23635415141979055,0.3922151087510065,0.371430739829203
2025-10-26_Brentford_Liverpool FC,2025-10-26,布伦特福德,利物浦,英超,2,0.5815612357705602,0.21231964739359277,0.20611911683584716,0.5437378292279497,0.31173916673299423,0.1445230040390561,0.5549628207970984,0.2943436727117879,0.1506935064911137,0.5180669025969707,0.2725585727310611,0.20937452467196807,0.5572340834058458,0.29560400285214933,0.1471619137420049
2025-10-26_Manchester United_Brighton & Hove Albion,2025-10-26,曼彻斯特联,布赖顿,英超,2,0.2480056899080534,0.2481878519250655,0.5038064581668811,0.28516250726742254,0.3332698213288395,0.381567671403738,0.3103511272797881,0.3300686982067893,0.35958017451342267,0.23735852224019224,0.2645500008509371,0.4980914769088707,0.3103732936084078,0.3282488926487203,0.3613778137428719
2025-10-26_RC Lens_Olympique de Marseille,2025-10-26,朗斯,马赛,法甲,2,0.368733443284857,0.3419260054903836,0.28934055122475927,0.3907447564136146,0.38678902918959235,0.22246621439679312,0.3783661087407835,0.3730499628208999,0.2485839284383165,0.3845712374651273,0.2951887081286178,0.3202400544062549,0.38029750990190575,0.37871384709501965,0.24098864300307463
2025-10-26_AS Monaco_Toulouse,2025-10-26,摩纳哥,图卢兹,法甲,2,0.18267984883621746,0.15428683742166563,0.6630333137421169,0.2218427935666943,0.26698142974344863,0.5111757766898571,0.22044868008188578,0.2741140540048834,0.5054372659132308,0.20785597678782675,0.228418232372529,0.5637257908396444,0.21497827372843792,0.27358374619443293,0.5114379800771292
2025-10-26_Sassuolo_AS Roma,2025-10-26,萨索洛,罗马,意甲,0,0.49084308879690597,0.31143151481471887,0.19772539638837514,0.4880329708023167,0.37066853705102215,0.1412984921466611,0.5112728839545773,0.3346470165521213,0.15408009949330134,0.49879224148443574,0.2956755236563962,0.205532234859168,0.5119953595720489,0.33820671670725366,0.1497979237206974
